time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
3781000,NORMAL:0,0.015704154002026342,3780000,1000,0,0,3000.0,0,49133073,117000,49077014,343274131,65568892,56059,3,3664000,117000,0,343274131,0,343274131
3840000,NORMAL:0,0.015704154002026342,3839000,1000,0,0,3000.0,0,49133073,117000,49077014,343275741,65568892,56059,3,3723000,117000,0,343275741,0,343275741
3841000,NORMAL:0,0.015704154002026342,3840000,1000,0,0,3000.0,0,49133073,117000,49077014,343275786,65568892,56059,3,3724000,117000,0,343275786,0,343275786
3900000,NORMAL:0,0.015704154002026342,3899000,1000,0,0,3000.0,0,49133073,117000,49077014,343277396,65568892,56059,3,3783000,117000,0,343277396,0,343277396
3901000,NORMAL:0,0.015704154002026342,3900000,1000,0,0,3000.0,0,49133073,117000,49077014,343277441,65568892,56059,3,3784000,117000,0,343277441,0,343277441
3960000,NORMAL:0,0.015704154002026342,3959000,1000,0,0,3000.0,0,49133073,117000,49077014,343279049,65568892,56059,3,3843000,117000,0,343279049,0,343279049
3961000,NORMAL:0,0.015704154002026342,3960000,1000,0,0,3000.0,0,49133073,117000,49077014,343279097,65568892,56059,3,3844000,117000,0,343279097,0,343279097
4020000,NORMAL:0,0.015704154002026342,4019000,1000,0,0,3000.0,0,49133073,117000,49077014,343280704,65568892,56059,3,3903000,117000,0,343280704,0,343280704
4021000,NORMAL:0,0.015704154002026342,4020000,1000,0,0,3000.0,0,49133073,117000,49077014,343280748,65568892,56059,3,3904000,117000,0,343280748,0,343280748
4080000,NORMAL:0,0.015704154002026342,4079000,1000,0,0,3000.0,0,49133073,117000,49077014,343282359,65568892,56059,3,3963000,117000,0,343282359,0,343282359
4081000,NORMAL:0,0.015704154002026342,4080000,1000,0,0,3000.0,0,49133073,117000,49077014,343282405,65568892,56059,3,3964000,117000,0,343282405,0,343282405
4140000,NORMAL:0,0.015704154002026342,4139000,1000,0,0,3000.0,0,49133073,117000,49077014,343284013,65568892,56059,3,4023000,117000,0,343284013,0,343284013
4141000,NORMAL:0,0.015704154002026342,4140000,1000,0,0,3000.0,0,49133073,117000,49077014,343284058,65568892,56059,3,4024000,117000,0,343284058,0,343284058
4200000,NORMAL:0,0.015704154002026342,4199000,1000,0,0,3000.0,0,49133073,117000,49077014,343285669,65568892,56059,3,4083000,117000,0,343285669,0,343285669
4201000,NORMAL:0,0.015704154002026342,4200000,1000,0,0,3000.0,0,49133073,117000,49077014,343285715,65568892,56059,3,4084000,117000,0,343285715,0,343285715
4260000,NORMAL:0,0.015704154002026342,4259000,1000,0,0,3000.0,0,49133073,117000,49077014,343287323,65568892,56059,3,4143000,117000,0,343287323,0,343287323
4261000,NORMAL:0,0.015704154002026342,4260000,1000,0,0,3000.0,0,49133073,117000,49077014,343287368,65568892,56059,3,4144000,117000,0,343287368,0,343287368
4320000,NORMAL:0,0.015704154002026342,4319000,1000,0,0,3000.0,0,49133073,117000,49077014,343288978,65568892,56059,3,4203000,117000,0,343288978,0,343288978
4321000,NORMAL:0,0.015704154002026342,4320000,1000,0,0,3000.0,0,49133073,117000,49077014,343289024,65568892,56059,3,4204000,117000,0,343289024,0,343289024
4380000,NORMAL:0,0.015704154002026342,4379000,1000,0,0,3000.0,0,49133073,117000,49077014,343290632,65568892,56059,3,4263000,117000,0,343290632,0,343290632
4381000,NORMAL:0,0.015704154002026342,4380000,1000,0,0,3000.0,0,49133073,117000,49077014,343290677,65568892,56059,3,4264000,117000,0,343290677,0,343290677
4440000,NORMAL:0,0.015704154002026342,4439000,1000,0,0,3000.0,0,49133073,117000,49077014,343292288,65568892,56059,3,4323000,117000,0,343292288,0,343292288
4441000,NORMAL:0,0.015704154002026342,4440000,1000,0,0,3000.0,0,49133073,117000,49077014,343292333,65568892,56059,3,4324000,117000,0,343292333,0,343292333
4500000,NORMAL:0,0.015704154002026342,4499000,1000,0,0,2500.0,0,49133074,117000,49077014,343293939,65568893,56060,2,4383000,117000,0,343293939,0,343293939
4501000,NORMAL:0,0.015704154002026342,4500000,1000,0,0,2500.0,0,49133074,117000,49077014,343293987,65568893,56060,2,4384000,117000,0,343293987,0,343293987
4560000,NORMAL:0,0.015704154002026342,4559000,1000,0,0,2500.0,0,49133074,117000,49077014,343295596,65568893,56060,2,4443000,117000,0,343295596,0,343295596
4561000,NORMAL:0,0.015704154002026342,4560000,1000,0,0,2500.0,0,49133074,117000,49077014,343295643,65568893,56060,2,4444000,117000,0,343295643,0,343295643
