time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
5100000,NORMAL:0,0.0,5100000,0,0,0,10000.0,0,1,0,0,1,0,140596,1,1,3,5100000,0,1e-06,360637.79863221885,360637.79863221885,140596,0,0,16219
5160000,NORMAL:0,0.0,5160000,0,0,0,10000.0,0,1,0,0,1,0,142253,1,1,3,5160000,0,1e-06,365710.92363221885,365710.92363221885,142253,0,0,16219
5220000,NORMAL:0,0.0,5220000,0,0,0,10000.0,0,1,0,0,1,0,143905,1,1,3,5220000,0,1e-06,370762.79863221885,370762.79863221885,143905,0,0,16219
5280000,NORMAL:0,0.0,5280000,0,0,0,10000.0,0,1,0,0,1,0,145562,1,1,3,5280000,0,1e-06,375835.92363221885,375835.92363221885,145562,0,0,16219
5340000,NORMAL:0,0.0,5340000,0,0,0,10000.0,0,1,0,0,1,0,147216,1,1,3,5340000,0,1e-06,380895.29863221885,380895.29863221885,147216,0,0,16219
5400000,NORMAL:0,0.0,5400000,0,0,0,10000.0,0,1,0,0,1,0,148870,1,1,3,5400000,0,1e-06,385964.67363221885,385964.67363221885,148870,0,0,16219
5460000,NORMAL:0,0.0,5460000,0,0,0,10000.0,0,1,0,0,1,0,150525,1,1,3,5460000,0,1e-06,391025.29863221885,391025.29863221885,150525,0,0,16219
5520000,NORMAL:0,0.0,5520000,0,0,0,10000.0,0,1,0,0,1,0,152180,1,1,3,5520000,0,1e-06,396090.92363221885,396090.92363221885,152180,0,0,16219
5580000,NORMAL:0,0.0,5580000,0,0,0,10000.0,0,1,0,0,1,0,153835,1,1,3,5580000,0,1e-06,401156.54863221885,401156.54863221885,153835,0,0,16219
5640000,NORMAL:0,0.0,5640000,0,0,0,10000.0,0,1,0,0,1,0,155488,1,1,3,5640000,0,1e-06,406214.67363221885,406214.67363221885,155488,0,0,16219
5700000,NORMAL:0,0.0,5700000,0,0,0,10000.0,0,1,0,0,1,0,157143,1,1,3,5700000,0,1e-06,411280.29863221885,411280.29863221885,157143,0,0,16219
5760000,NORMAL:0,0.0,5760000,0,0,0,10000.0,0,1,0,0,1,0,158799,1,1,3,5760000,0,1e-06,416352.17363221885,416352.17363221885,158799,0,0,16219
5820000,NORMAL:0,0.0,5820000,0,0,0,10000.0,0,1,0,0,1,0,160453,1,1,3,5820000,0,1e-06,421411.54863221885,421411.54863221885,160453,0,0,16219
5880000,NORMAL:0,0.0,5880000,0,0,0,10000.0,0,1,0,0,1,0,162109,1,1,3,5880000,0,1e-06,426478.42363221885,426478.42363221885,162109,0,0,16219
5940000,NORMAL:0,0.0,5940000,0,0,0,10000.0,0,1,0,0,1,0,163761,1,1,3,5940000,0,1e-06,431535.29863221885,431535.29863221885,163761,0,0,16219
